Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive
20,73,2,1,1,9,92,1,1,2,1,2,0,3,0,1,0,0,69,False,False,True
8,77,2,1,1,6,87,1,1,0,0,1,0,2,0,0,1,0,63,False,True,False
20,72,1,1,0,9,66,1,1,3,0,2,1,3,0,2,0,0,67,False,False,True
20,71,0,2,1,7,62,2,1,2,1,1,0,5,0,1,0,0,66,True,False,False
35,99,2,2,1,7,85,0,1,2,1,2,1,2,0,2,0,1,79,False,True,False
19,66,1,1,0,8,74,1,1,1,2,1,0,3,0,0,0,1,64,False,True,False
22,89,2,2,1,6,80,1,1,1,2,2,0,3,0,0,0,1,73,False,False,True
20,60,0,2,0,7,82,2,1,2,0,2,0,4,1,0,0,0,63,False,False,True
13,84,1,1,0,5,78,1,1,1,0,2,0,2,0,0,0,0,65,False,False,True
27,97,0,2,1,8,81,1,1,0,2,1,0,5,0,0,0,1,73,False,False,True
25,72,2,2,1,8,94,0,1,2,0,1,1,4,0,1,1,1,70,False,False,True
25,67,2,1,0,9,93,2,1,2,0,2,0,3,1,0,0,1,68,False,False,True
15,86,1,1,1,7,57,1,1,1,1,1,0,3,0,1,0,0,65,True,False,False
28,89,0,2,1,9,79,2,1,0,0,1,1,1,0,1,1,1,71,False,False,True
12,88,0,1,0,6,72,0,1,2,1,1,0,2,0,1,2,0,64,False,False,True
24,73,1,2,1,8,64,1,1,4,2,1,1,3,1,1,1,0,68,False,True,False
33,70,1,1,1,6,82,0,1,1,0,2,0,4,0,1,0,0,69,False,True,False
14,98,1,1,0,7,76,1,1,0,1,2,1,4,0,1,1,1,69,False,False,True
17,97,1,1,0,8,89,1,1,1,0,-1,0,4,0,0,2,0,69,False,True,False
21,78,1,1,1,10,55,1,1,1,2,0,1,2,0,1,0,0,67,False,False,True
17,94,0,1,1,8,65,0,1,4,1,1,0,6,0,0,2,1,68,False,True,False
11,78,1,2,1,8,51,1,1,2,0,1,0,3,0,2,0,0,64,False,True,False
20,77,1,1,0,6,87,0,1,0,0,2,0,4,0,0,0,1,66,False,False,True
14,66,2,0,0,7,96,1,1,3,0,2,0,3,0,0,0,0,63,True,False,False
23,77,1,1,1,7,79,1,1,0,0,2,0,2,0,0,1,0,66,False,True,False
14,81,1,1,0,9,81,1,1,1,0,2,1,3,0,2,0,1,66,True,False,False
29,61,1,2,1,7,52,0,1,3,0,1,1,3,0,1,0,1,67,False,False,True
15,78,2,2,0,9,75,0,1,1,0,1,0,1,0,0,0,0,65,True,False,False
18,91,0,1,1,5,76,1,1,1,1,1,0,3,0,0,0,1,68,False,True,False
25,87,1,0,0,9,52,2,1,1,0,2,1,2,0,0,0,0,68,False,False,True
13,85,2,1,0,6,89,1,1,0,2,1,1,1,1,0,0,0,65,False,True,False
21,96,1,1,0,8,64,2,1,2,1,2,0,0,0,1,0,0,71,False,True,False
28,61,1,2,0,6,86,2,1,1,0,1,1,3,1,2,2,0,65,True,False,False
10,82,1,0,0,8,70,1,1,3,0,2,0,1,1,2,0,1,64,False,False,True
21,91,2,1,0,6,100,1,1,0,2,1,1,2,0,2,0,1,72,False,True,False
22,82,1,1,0,9,61,1,1,2,0,1,0,2,1,0,0,1,65,True,False,False
25,73,1,2,0,8,53,2,0,0,0,2,1,5,0,2,0,1,66,True,False,False
13,65,0,2,0,6,99,1,1,0,0,1,1,4,0,0,0,0,61,True,False,False
12,96,0,2,1,8,62,1,1,2,1,2,0,3,0,1,0,1,68,True,False,False
23,79,2,2,1,8,82,0,1,3,1,1,0,3,1,2,1,1,69,True,False,False
22,95,1,2,1,6,69,1,1,1,0,1,0,3,0,1,0,1,72,False,False,True
22,83,1,2,1,5,82,1,1,2,0,2,0,3,0,2,0,1,71,False,False,True
22,87,2,2,0,5,80,0,1,2,0,2,0,3,0,0,0,1,70,True,False,False
16,92,1,2,1,5,85,0,1,1,0,1,0,2,0,0,1,0,68,False,True,False
21,86,0,1,1,5,51,1,1,2,0,2,0,2,0,0,1,1,67,False,False,True
22,76,1,1,1,8,92,1,1,1,0,2,0,4,0,0,0,1,68,False,True,False
16,81,1,1,1,8,74,1,1,3,1,1,0,2,0,2,0,1,68,False,False,True
31,92,1,1,1,4,76,1,1,2,1,2,0,4,1,0,2,0,72,False,False,True
23,75,0,2,0,6,71,0,1,0,1,1,0,2,0,1,0,0,65,False,True,False
13,76,1,2,0,5,99,0,1,2,1,1,1,4,0,0,0,1,66,False,False,True
24,64,1,1,1,8,90,2,1,0,0,2,0,3,0,0,0,0,65,True,False,False
14,97,1,1,1,6,66,1,1,2,1,1,0,3,1,1,0,1,67,True,False,False
25,64,1,2,0,5,89,0,1,2,1,1,0,4,0,1,2,0,66,False,True,False
27,86,1,1,0,7,72,0,1,1,1,2,0,4,0,0,2,0,69,False,False,True
15,77,1,1,1,8,94,0,1,0,2,2,0,3,0,1,1,0,66,False,False,True
26,76,1,2,1,6,52,1,1,4,2,0,0,3,0,0,0,0,69,False,True,False
22,87,2,0,1,7,68,1,0,0,0,1,0,2,0,0,0,0,67,False,True,False
25,63,2,1,1,6,71,1,1,1,1,0,1,3,0,0,0,0,66,False,False,True
31,84,1,1,1,9,87,1,1,2,0,1,1,3,0,1,2,0,71,False,True,False
19,91,2,0,0,6,59,1,1,5,1,2,0,4,0,1,1,0,70,False,True,False
15,93,2,1,0,6,64,1,1,2,1,2,0,4,0,2,0,0,71,False,False,True
15,67,1,1,1,7,86,2,1,1,2,1,1,3,0,2,0,0,66,False,False,True
15,96,1,1,0,7,54,2,0,3,1,2,0,2,0,0,0,0,67,True,False,False
20,86,2,0,0,8,60,1,1,1,1,1,0,4,1,1,2,1,66,False,True,False
22,95,1,2,0,9,88,0,1,0,0,2,0,2,0,2,0,0,72,False,False,True
22,79,1,1,0,9,94,1,1,1,1,1,0,3,0,0,0,0,68,False,False,True
25,82,1,1,0,6,86,1,0,3,0,2,0,3,0,0,0,1,69,False,False,True
20,97,1,1,1,7,76,0,1,2,0,0,1,3,0,2,0,0,71,False,False,True
29,96,1,1,1,9,55,0,0,0,1,1,0,2,0,2,2,1,70,False,True,False
18,78,1,1,0,9,91,2,1,2,2,0,0,4,0,1,2,1,67,False,True,False
36,71,1,1,1,6,56,1,1,2,2,1,0,2,0,0,2,0,69,False,False,True
24,76,0,2,0,8,69,0,1,2,1,1,0,1,0,0,1,0,65,False,True,False
15,76,2,2,0,8,53,1,1,1,0,1,0,4,0,1,0,0,65,False,True,False
14,71,1,1,1,8,85,0,1,2,1,2,0,4,0,0,0,0,64,False,True,False
23,71,0,0,1,9,75,0,1,1,0,1,0,2,0,1,0,0,63,True,False,False
19,94,0,1,1,5,95,1,1,3,0,0,0,2,0,0,1,0,69,False,False,True
24,63,1,0,1,6,57,1,1,1,0,2,1,5,0,1,0,1,64,False,True,False
23,87,2,2,1,8,91,2,1,0,2,1,1,3,0,0,1,0,72,False,False,True
20,67,0,1,1,7,76,1,1,0,1,1,0,4,0,0,0,0,63,False,True,False
15,74,0,2,1,4,68,0,1,3,0,1,0,3,0,0,0,1,64,False,False,True
11,62,1,2,1,5,82,1,1,3,2,1,1,4,0,1,1,0,64,False,True,False
17,71,1,1,1,8,90,1,1,5,1,1,0,1,0,2,2,0,67,False,False,True
25,91,1,1,0,8,72,0,1,2,1,2,0,0,0,2,0,0,71,False,False,True
21,95,1,1,0,5,62,2,1,1,1,0,0,4,0,0,0,0,70,False,False,True
13,69,1,0,1,9,96,0,1,0,2,1,1,4,0,0,2,1,61,False,True,False
21,79,1,2,1,7,66,0,1,2,0,1,0,4,0,1,1,0,67,True,False,False
22,79,2,1,0,5,100,1,1,4,2,2,0,3,0,1,0,0,72,True,False,False
15,95,0,0,1,6,88,0,1,1,0,1,0,5,0,0,0,0,66,True,False,False
21,91,1,2,1,5,84,1,1,1,2,0,0,2,0,0,0,0,70,False,True,False
20,81,2,1,1,6,51,2,0,3,1,1,0,4,1,0,0,0,67,False,True,False
13,87,2,0,1,4,72,1,1,2,1,2,0,3,0,0,1,1,67,False,True,False
22,94,0,1,1,7,75,2,1,2,2,1,0,2,0,1,0,1,71,False,True,False
23,60,2,1,1,8,69,1,1,1,0,1,1,4,0,1,0,0,66,False,False,True
26,76,1,1,1,5,57,1,1,1,1,1,0,4,0,0,0,0,68,False,False,True
26,96,1,1,1,7,68,1,1,3,2,1,1,3,0,1,0,1,74,False,False,True
12,90,1,0,1,6,54,1,0,1,2,1,0,3,0,0,0,0,64,False,True,False
14,82,1,1,0,8,65,1,1,1,0,1,1,3,0,1,0,0,65,False,False,True
23,81,0,1,1,4,54,1,1,1,0,1,0,3,0,1,0,0,66,False,True,False
23,74,1,2,1,8,88,0,1,0,1,2,0,3,1,0,0,0,66,True,False,False
23,81,1,0,0,4,84,1,1,2,1,1,0,5,0,0,0,0,68,False,False,True
43,86,2,1,1,7,97,1,1,2,1,2,0,1,0,0,0,1,78,False,False,True
23,77,1,2,1,6,69,0,1,1,1,1,1,2,0,0,1,1,67,False,False,True
27,89,1,2,1,6,89,1,1,3,1,1,1,3,0,0,0,0,74,False,False,True
26,94,1,2,0,5,79,2,1,1,0,2,0,2,0,2,0,0,74,False,False,True
24,66,1,0,0,9,82,0,1,1,1,1,0,2,1,0,0,1,62,False,True,False
18,78,2,1,1,5,77,1,0,2,1,1,0,4,0,0,2,0,66,False,True,False
25,76,1,1,1,5,89,2,1,3,1,2,0,3,0,0,2,1,69,False,True,False
15,87,1,2,1,10,52,1,1,2,0,2,1,3,0,1,0,0,68,False,False,True
19,70,1,0,0,7,54,2,1,0,1,1,0,2,1,0,1,0,89,False,False,True
17,86,2,0,0,5,55,0,0,2,2,1,1,4,0,1,0,0,66,False,True,False
20,95,0,1,1,7,64,0,0,2,1,2,0,3,0,0,0,1,68,False,True,False
34,77,1,0,1,7,80,0,1,0,1,1,0,3,0,0,0,0,69,False,False,True
9,96,1,1,1,4,82,2,0,0,0,1,0,4,0,1,0,0,67,False,False,True
24,100,2,2,1,6,86,0,1,2,1,1,1,5,0,0,0,0,75,False,False,True
10,64,1,2,0,7,64,2,1,0,1,1,0,4,1,0,1,1,60,False,False,True
17,69,2,1,1,9,83,1,1,2,1,2,1,4,1,1,1,1,66,False,False,True
27,98,0,2,1,7,56,0,1,1,2,1,1,3,0,1,0,1,73,False,False,True
20,98,1,0,0,7,50,0,1,1,1,2,1,2,0,0,0,1,68,False,True,False
14,64,1,1,1,6,85,1,1,0,1,1,0,3,0,0,0,0,62,False,True,False
16,61,1,1,0,9,86,0,1,2,0,2,0,2,0,0,0,0,62,False,False,True
24,66,2,0,1,8,81,2,1,1,1,1,0,4,0,0,2,0,65,False,True,False
16,100,2,0,1,8,63,2,1,2,0,1,0,3,0,0,1,0,69,True,False,False
21,67,1,1,0,7,96,0,1,3,0,1,0,2,0,0,2,1,64,False,True,False
20,80,1,2,0,5,94,1,1,0,0,0,1,4,1,2,1,1,67,False,False,True
16,94,2,2,1,9,76,1,1,0,0,2,0,2,0,0,0,0,70,False,True,False
33,61,1,1,0,7,99,2,1,2,1,2,0,3,0,1,0,1,70,False,True,False
24,84,2,0,0,7,65,0,1,3,1,2,0,3,0,0,0,1,69,False,False,True
8,71,2,0,0,8,75,1,1,0,1,2,0,3,0,0,0,0,61,False,False,True
21,94,1,1,0,7,96,0,1,0,1,1,1,2,1,2,1,0,69,False,True,False
16,71,2,1,1,5,73,1,1,1,1,1,0,0,1,0,0,0,63,False,True,False
25,87,1,0,1,7,74,0,1,0,1,2,0,4,1,0,0,0,67,False,True,False
15,87,0,1,0,4,54,1,1,1,1,1,0,6,0,-1,1,0,65,False,True,False
19,69,1,1,1,7,61,2,1,3,2,2,0,4,0,0,1,0,66,False,True,False
23,61,0,1,0,9,58,1,1,4,1,1,0,2,0,0,0,0,63,False,True,False
25,76,1,2,1,4,78,1,1,2,1,1,1,3,0,0,1,1,68,True,False,False
13,72,2,2,0,7,66,1,1,0,0,2,0,4,0,2,0,0,65,False,True,False
18,92,0,1,1,8,54,1,1,1,1,1,0,3,0,0,0,0,67,False,False,True
17,92,0,0,1,8,75,1,1,2,1,2,0,3,0,2,0,1,68,False,True,False
16,78,1,2,0,6,83,1,1,0,0,0,0,3,1,1,0,0,64,False,True,False
31,84,1,1,0,5,87,2,1,0,1,1,1,3,0,1,1,0,71,False,False,True
22,84,1,1,1,6,92,0,1,0,1,1,0,5,0,0,0,1,69,False,True,False
12,93,1,1,1,9,74,0,1,1,1,1,0,3,0,2,1,0,67,False,True,False
26,77,0,1,0,4,70,0,1,2,2,0,0,3,1,1,1,1,65,False,True,False
33,71,0,1,0,5,84,1,1,1,1,1,0,2,0,0,0,0,68,False,False,True
26,71,2,1,1,6,51,0,0,1,2,1,1,3,0,2,1,0,67,False,False,True
11,81,1,1,1,6,82,2,1,3,1,2,0,4,0,0,0,0,67,False,True,False
17,78,1,2,1,7,70,1,0,2,0,2,0,3,0,0,0,0,66,False,False,True
28,78,2,1,0,9,73,2,1,2,1,1,0,4,0,1,1,1,70,False,True,False
16,64,2,0,1,5,65,1,1,3,1,2,1,4,0,2,1,1,65,False,False,True
23,89,0,0,1,7,56,0,1,4,1,0,1,4,0,2,0,1,69,False,False,True
25,69,1,1,1,7,70,0,0,1,2,2,0,4,0,0,2,1,65,False,False,True
14,68,2,1,0,6,65,1,1,1,2,1,0,3,1,1,0,0,63,False,True,False
20,77,1,1,0,5,98,0,1,2,0,2,1,2,0,2,2,1,67,False,True,False
1,69,2,1,1,6,97,1,1,1,0,1,0,3,0,0,0,1,61,False,False,True
14,83,1,0,1,6,82,1,1,0,1,1,0,2,0,0,0,1,65,False,False,True
18,75,0,2,1,8,95,1,1,1,0,0,0,2,0,1,0,1,66,False,True,False
13,78,1,2,1,8,88,2,1,0,2,0,0,3,0,1,0,0,66,False,True,False
30,81,1,0,1,5,67,1,1,1,2,2,0,1,0,0,0,0,69,True,False,False
11,68,1,1,0,6,80,1,1,2,1,1,0,3,0,1,1,1,63,False,False,True
17,66,0,2,0,6,61,1,1,1,2,1,0,6,0,2,0,0,65,False,False,True
21,95,0,0,0,10,84,0,1,0,2,1,0,4,1,0,0,0,67,False,True,False
29,77,2,2,1,7,52,1,1,2,2,1,0,3,1,0,0,1,69,True,False,False
11,76,0,1,1,5,92,1,1,4,1,0,0,2,0,2,0,0,65,True,False,False
27,61,1,1,0,6,79,1,1,1,0,1,0,3,0,0,1,0,65,False,False,True
20,80,2,0,1,6,53,1,1,0,0,1,0,2,0,1,1,0,65,False,True,False
14,82,1,2,1,8,94,0,1,2,0,2,0,5,0,1,2,1,67,True,False,False
23,82,0,1,1,8,94,1,1,1,1,1,0,2,1,0,-1,0,66,True,False,False
21,88,1,2,0,7,93,1,1,4,0,1,0,3,0,0,0,1,72,False,False,True
16,67,1,2,0,7,89,2,1,3,0,1,0,3,0,1,0,0,66,False,False,True
20,70,1,1,1,7,84,0,0,2,1,2,1,4,0,1,2,0,65,False,True,False
18,92,2,1,1,7,70,1,1,1,0,1,0,3,0,0,1,0,69,False,True,False
21,98,1,0,0,4,57,1,1,2,2,0,0,2,0,0,0,1,68,False,True,False
24,65,1,0,0,7,64,0,1,1,2,1,0,1,0,2,0,0,64,False,True,False
30,80,0,2,0,6,67,1,1,3,1,1,0,4,0,1,1,1,69,True,False,False
13,69,1,0,1,5,68,0,1,0,2,1,0,1,1,0,1,1,59,False,False,True
33,62,2,1,1,10,78,1,1,0,1,1,1,3,0,0,1,1,68,False,False,True
8,73,1,1,0,7,60,1,0,0,2,1,1,3,0,0,0,1,60,False,True,False
19,66,1,2,0,7,59,1,1,1,2,1,0,3,0,0,2,0,62,True,False,False
24,88,0,1,1,6,86,0,1,0,0,0,0,3,0,1,0,0,67,True,False,False
22,81,0,2,1,8,50,2,1,4,1,1,1,5,0,0,2,1,68,False,False,True
16,66,1,2,1,5,57,2,1,3,1,1,0,3,0,0,1,1,64,False,False,True
19,60,1,2,1,7,72,2,1,3,0,2,0,3,0,0,1,1,65,False,False,True
17,92,0,0,1,6,57,1,1,2,1,1,1,2,1,0,1,1,65,False,False,True
16,67,2,1,0,8,98,1,1,0,0,0,0,3,0,0,0,1,63,False,True,False
25,84,1,0,1,6,84,0,1,2,1,2,0,3,0,0,0,0,70,False,False,True
22,73,0,1,1,9,72,0,1,3,1,1,0,3,0,0,0,1,66,False,False,True
16,83,1,2,1,7,56,0,1,4,2,1,0,3,0,0,0,1,68,False,False,True
25,73,0,0,0,8,69,1,1,3,1,1,1,3,0,0,0,1,66,False,False,True
22,63,0,0,0,8,83,1,1,3,1,1,1,1,0,1,0,0,63,True,False,False
25,69,2,1,1,9,98,1,1,1,0,1,0,3,1,1,1,1,66,True,False,False
24,68,1,1,1,6,74,1,1,1,1,1,0,3,0,0,0,1,65,False,True,False
15,77,1,1,1,8,85,2,1,1,0,1,0,2,0,2,1,0,66,False,False,True
17,86,2,0,1,4,60,2,1,2,2,0,1,3,1,1,1,1,67,False,False,True
24,71,1,1,1,7,81,1,1,0,0,1,1,3,0,0,0,0,66,False,False,True
24,60,0,1,0,6,62,2,1,4,0,2,0,3,0,0,0,1,63,True,False,False
20,81,1,1,1,5,60,0,1,3,1,1,0,4,1,0,0,0,66,False,False,True
21,84,1,1,0,6,75,0,0,1,2,1,0,3,0,1,1,0,67,False,False,True
28,99,1,1,1,6,61,1,0,1,0,1,0,3,0,0,0,0,71,False,False,True
16,84,1,2,1,7,86,1,1,1,0,1,1,2,0,0,0,1,67,False,True,False
23,79,1,2,1,6,97,1,1,1,2,0,0,4,0,0,1,0,69,False,True,False
